country_code,year,ln_underval
ABW,1970,-0.5975799159378625
ABW,1971,-0.5054987577634211
ABW,1972,-0.44942905841767156
ABW,1973,-0.3470545387111944
ABW,1974,-0.23625112268108284
ABW,1975,-0.2024848514287143
ABW,1976,-0.1479856639970949
ABW,1977,-0.15339507321219026
ABW,1978,-0.05217018805620133
ABW,1979,0.05664114098176598
ABW,1980,0.12091611147733361
ABW,1981,0.15787271368279954
ABW,1982,0.19872128932014754
ABW,1983,0.25299950473781685
ABW,1984,0.29462426733545155
ABW,1985,0.4150093361685414
ABW,1986,0.43783526057700994
ABW,1987,0.4586914746142796
ABW,1988,0.45981115949234774
ABW,1989,0.34964328373828657
ABW,1990,0.3474162632337485
ABW,1991,0.11852001598889883
ABW,1992,0.39460167436743054
ABW,1993,0.23981548251734064
ABW,1994,0.23417330548947923
ABW,1995,0.19896688723997835
ABW,1996,0.08422662893846256
ABW,1997,0.04801617496162347
ABW,1998,0.1029244953218662
ABW,1999,0.15194344761166678
ABW,2000,-0.08132584980278157
ABW,2001,-0.022486627945218052
ABW,2002,-0.24769987397249982
ABW,2003,-0.24761801115319648
ABW,2004,-0.22353071810792857
ABW,2005,-0.24912459797765107
ABW,2006,-0.2604510145247878
ABW,2007,-0.3570787470440854
ABW,2008,-0.39214166300305053
ABW,2009,-0.42932768896580986
ABW,2010,-0.4928288657064698
ABW,2011,-0.559833550407642
ABW,2012,-0.5969746452844538
ABW,2013,-0.43978777295125304
ABW,2014,-0.5987357717696364
ABW,2015,-0.614699884009041
ABW,2016,-0.7836718406764543
ABW,2017,-0.9214297216884201
ABW,2018,-0.811015792263196
ABW,2019,-0.9149626813722105
ABW,2020,-0.9155258181768138
ABW,2021,-0.7251808320803655
ABW,2022,-0.6812493005154499
ABW,2023,-0.7341004520576659
AGO,1970,0.7096618941436423
AGO,1971,0.7371025698971405
AGO,1972,0.7011532665998383
AGO,1973,0.5939496399421724
AGO,1974,0.5111860565417297
AGO,1975,0.7337859532767543
AGO,1976,0.7268936731917406
AGO,1977,0.6845322640359941
AGO,1978,0.4493698525654206
AGO,1979,0.37489863538085255
AGO,1980,0.10509095649918843
AGO,1981,0.152071899070934
AGO,1982,0.15970514744013764
AGO,1983,0.11233778548466589
AGO,1984,0.15392421792469824
AGO,1985,-0.0049681149277427394
AGO,1986,-0.09738125274400256
AGO,1987,-0.10239149182113727
AGO,1988,-0.2510451354943808
AGO,1989,-0.3386996223839145
AGO,1990,-0.36903492626124734
AGO,1991,-0.7030006550366085
AGO,1992,-0.5681201355923569
AGO,1993,-0.48254150869767654
AGO,1994,-0.44916299952782546
AGO,1995,0.14486701015266967
AGO,1996,0.13342286815803694
AGO,1997,-0.016405283816756766
AGO,1998,0.21445327562003125
AGO,1999,0.25701586529167453
AGO,2000,-0.30379229600535496
AGO,2001,-0.23476161238544657
AGO,2002,-0.30426388133906523
AGO,2003,-0.3721130907415451
AGO,2004,-0.42363569496027487
AGO,2005,-0.5569754407091715
AGO,2006,-0.606239782969995
AGO,2007,-0.7048264738626648
AGO,2008,-0.7901025768229165
AGO,2009,-0.8349726936718412
AGO,2010,-0.6687806077971007
AGO,2011,-0.6547138812601205
AGO,2012,-0.673904148336941
AGO,2013,-0.7282032179832924
AGO,2014,-0.7157783789507086
AGO,2015,-0.5980823757389314
AGO,2016,-0.5342897541928071
AGO,2017,-0.669471356392867
AGO,2018,-0.4738205034471602
AGO,2019,-0.2867779966340729
AGO,2020,-0.01584606080850981
AGO,2021,-0.22394029960854112
AGO,2022,-0.6659001322074994
AGO,2023,-0.44693733465148755
AIA,1970,1.6618708590299123
AIA,1971,1.472090772091255
AIA,1972,1.4426034414438638
AIA,1973,1.36821433917264
AIA,1974,1.2449087536323193
AIA,1975,1.204853818837788
AIA,1976,1.266068484753336
AIA,1977,1.1524925732969211
AIA,1978,1.0918920469884439
AIA,1979,1.0455720468838994
AIA,1980,0.9253994988580583
AIA,1981,0.827950287944405
AIA,1982,0.6918751009929074
AIA,1983,0.5326305820239516
AIA,1984,0.4227205947622672
AIA,1985,0.33113490701340886
AIA,1986,0.29165792989293515
AIA,1987,0.1515836039361873
AIA,1988,0.012260216696059256
AIA,1989,-0.04927855251300706
AIA,1990,0.10573664899767232
AIA,1991,-0.2016437863579711
AIA,1992,-0.026100233667140316
AIA,1993,-0.056235711734460514
AIA,1994,-0.12384845728264948
AIA,1995,-0.15566404155004432
AIA,1996,-0.23969052227122012
AIA,1997,-0.3340101317205705
AIA,1998,-0.2729081285778163
AIA,1999,-0.2312029549242246
AIA,2000,-0.3204000534300061
AIA,2001,-0.39059424969605405
AIA,2002,-0.5294178535670752
AIA,2003,-0.4458694929401019
AIA,2004,-0.4478110672159593
AIA,2005,-0.45429115591238756
AIA,2006,-0.5598915732880025
AIA,2007,-0.5825721743488286
AIA,2008,-0.6151131159776836
AIA,2009,-0.7057815559941251
AIA,2010,-0.7217053561148286
AIA,2011,-0.8518999060238814
AIA,2012,-0.9393361162542577
AIA,2013,-1.113396037647051
AIA,2014,-1.2611473291462387
AIA,2015,-1.4565022669613061
AIA,2016,-1.5615648593628648
AIA,2017,-1.6947327253009083
AIA,2018,-1.845563281537575
AIA,2019,-1.2049133158751792
AIA,2020,-1.2155323930276325
AIA,2021,-1.2223484859428522
AIA,2022,-1.2762906468407107
AIA,2023,-1.2881437286590611
ALB,1970,-0.398433566500064
ALB,1971,-0.38698197304537496
ALB,1972,-0.37451404826831647
ALB,1973,-0.3654148023703039
ALB,1974,-0.3429505788327729
ALB,1975,-0.3285426316713005
ALB,1976,-0.3211233847697399
ALB,1977,-0.3035417634521991
ALB,1978,-0.28685041639338005
ALB,1979,-0.07647019769945884
ALB,1980,0.0873006419140574
ALB,1981,0.09872479121444466
ALB,1982,0.07574825454966772
ALB,1983,0.09788030777089873
ALB,1984,0.11425900117206655
ALB,1985,0.10265815697776515
ALB,1986,0.12430781524729184
ALB,1987,0.14504628098565586
ALB,1988,0.08464515754183566
ALB,1989,-0.0010262796070110713
ALB,1990,0.2773614623083349
ALB,1991,0.3986283967232802
ALB,1992,0.28808315079397073
ALB,1993,0.3705580586315431
ALB,1994,0.43294302630853587
ALB,1995,0.2916233345908219
ALB,1996,0.15683520667947093
ALB,1997,0.2788007379710735
ALB,1998,0.06550134301735921
ALB,1999,-0.013306637818053524
ALB,2000,0.03156244582147938
ALB,2001,0.019439044635140013
ALB,2002,0.0015009913704886468
ALB,2003,-0.13212425595092947
ALB,2004,-0.3043964834889248
ALB,2005,-0.30478302760597376
ALB,2006,-0.30250890341028347
ALB,2007,-0.3925410563472208
ALB,2008,-0.46621308962217634
ALB,2009,-0.2973465538392429
ALB,2010,-0.2829544305252134
ALB,2011,-0.2953612572388995
ALB,2012,-0.2244814724043489
ALB,2013,-0.32841976884425483
ALB,2014,-0.30910207251900734
ALB,2015,-0.09047837396493907
ALB,2016,-0.12453902716075715
ALB,2017,-0.17539619395350226
ALB,2018,-0.31573295686117275
ALB,2019,-0.2503900422400369
ALB,2020,-0.2800019398085689
ALB,2021,-0.35606425657334617
ALB,2022,-0.3619681513849389
ALB,2023,-0.5237820388769036
ARE,1970,3.5374249074057853
ARE,1971,3.360991859414618
ARE,1972,2.8878606998046212
ARE,1973,2.3813005981693802
ARE,1974,1.4105948462733435
ARE,1975,1.40902213450376
ARE,1976,1.3397151601664383
ARE,1977,1.3305591198922486
ARE,1978,1.3139826389750664
ARE,1979,1.2518101118116505
ARE,1980,1.38830934460029
ARE,1981,1.2161696492349277
ARE,1982,1.1612776340236077
ARE,1983,1.1329139419060261
ARE,1984,1.1612479204204957
ARE,1985,1.112490382196846
ARE,1986,1.0679512168445002
ARE,1987,0.8438199824014565
ARE,1988,0.9510924101212574
ARE,1989,0.9765376179090033
ARE,1990,0.9583060832336268
ARE,1991,0.8575569351551102
ARE,1992,0.8432862483600154
ARE,1993,0.5565118140487217
ARE,1994,0.544026735159493
ARE,1995,0.537988906304119
ARE,1996,0.47977382286146897
ARE,1997,0.4746917701014357
ARE,1998,0.4572495365665141
ARE,1999,0.43710869979483724
ARE,2000,0.457366420948063
ARE,2001,0.4785441704811797
ARE,2002,0.433167197947828
ARE,2003,0.39368396893454016
ARE,2004,0.30744167815623236
ARE,2005,0.2673750660516725
ARE,2006,0.22906313151088153
ARE,2007,0.15110952032167801
ARE,2008,0.027479159459014912
ARE,2009,0.056521308969898376
ARE,2010,-0.049157219428275445
ARE,2011,-0.06157328114646443
ARE,2012,-0.09262843065817306
ARE,2013,-0.17226536078932264
ARE,2014,-0.15729202556968136
ARE,2015,-0.2028065083394407
ARE,2016,-0.2559413577939743
ARE,2017,-0.38132674208471296
ARE,2018,-0.38747021298921824
ARE,2019,-0.30688365932751893
ARE,2020,-0.20771104057219758
ARE,2021,-0.392805693556196
ARE,2022,-0.40654315222353493
ARE,2023,-0.4262306739185288
ARG,1950,0.1392013335817519
ARG,1951,0.04174290001086134
ARG,1952,-0.02382518854711191
ARG,1953,-0.00977500699128453
ARG,1954,-0.0021528267595603
ARG,1955,-0.006904288829947092
ARG,1956,-0.04610997765995428
ARG,1957,-0.06388975301851274
ARG,1958,-0.06433957509528088
ARG,1959,-0.10283546907832819
ARG,1960,-0.14255907312796978
ARG,1961,-0.14942335549947483
ARG,1962,-0.15987767681604237
ARG,1963,-0.17199091576233272
ARG,1964,-0.20677443214253066
ARG,1965,-0.17191629860202573
ARG,1966,-0.18272627916267647
ARG,1967,-0.19968581576579125
ARG,1968,-0.2580500912653918
ARG,1969,-0.3277812962320945
ARG,1970,-0.3035084167133093
ARG,1971,-0.45140418529467863
ARG,1972,-0.36407762682424294
ARG,1973,-0.3965798236590927
ARG,1974,-0.4790206855197362
ARG,1975,-0.5812529896667008
ARG,1976,-0.6410963022591035
ARG,1977,-0.6943915384492665
ARG,1978,-0.7550459491375848
ARG,1979,-0.8249175978465911
ARG,1980,-0.9096860356448321
ARG,1981,-0.941537257151165
ARG,1982,-0.9237263160669815
ARG,1983,-0.9034595847106291
ARG,1984,-0.8853333540924425
ARG,1985,-0.8767445614532211
ARG,1986,-0.9396244040420226
ARG,1987,-0.8981916532225214
ARG,1988,-0.9837907874730125
ARG,1989,-0.5221728257761022
ARG,1990,-1.0009486153675249
ARG,1991,-1.107468242231227
ARG,1992,-1.0937975743815624
ARG,1993,-0.9691868291823966
ARG,1994,-0.8762903439394591
ARG,1995,-0.7472085887198858
ARG,1996,-0.5031664964430697
ARG,1997,-0.5384778288974983
ARG,1998,-0.5613856424216676
ARG,1999,-0.5805470191456958
ARG,2000,-0.5939438927033285
ARG,2001,-0.6141872187305256
ARG,2002,0.18687579926111497
ARG,2003,0.03004519865845179
ARG,2004,-0.03740098323144325
ARG,2005,-0.1256322159626213
ARG,2006,-0.1788636329350204
ARG,2007,-0.2725201114295991
ARG,2008,-0.41518704077895074
ARG,2009,-0.38606735633604594
ARG,2010,-0.4621372530608653
ARG,2011,-0.5391684910824
ARG,2012,-0.6157071877145283
ARG,2013,-0.6738826411679775
ARG,2014,-0.6206790759102178
ARG,2015,-0.7005486476673408
ARG,2016,-0.5548525461365111
ARG,2017,-0.5613677008768903
ARG,2018,-0.3133761011906956
ARG,2019,-0.20939965764587287
ARG,2020,-0.14045549766534193
ARG,2021,-0.22250290434713282
ARG,2022,-0.40532937028305516
ARG,2023,-0.4473545025362432
ARM,1990,1.1390858780887978
ARM,1991,1.1179296086578545
ARM,1992,0.9806942408133059
ARM,1993,0.9796500990087753
ARM,1994,0.6006157229755482
ARM,1995,0.5501602860755959
ARM,1996,0.4340426510659783
ARM,1997,0.44808677180191814
ARM,1998,0.22081805757082718
ARM,1999,0.35162330632365535
ARM,2000,0.345836521365561
ARM,2001,0.31921846513385455
ARM,2002,0.3134006182918925
ARM,2003,0.30113173768708257
ARM,2004,0.14282242109202326
ARM,2005,-0.040039493454928854
ARM,2006,-0.14922646635929837
ARM,2007,-0.36114651733695236
ARM,2008,-0.507783824936031
ARM,2009,-0.2987423731718466
ARM,2010,-0.261086780813921
ARM,2011,-0.24089616891519405
ARM,2012,-0.0841056769424453
ARM,2013,-0.17316803368264555
ARM,2014,-0.18229556666363522
ARM,2015,-0.0779231347707785
ARM,2016,0.014839078191917432
ARM,2017,0.08732286737851602
ARM,2018,0.04578140805873798
ARM,2019,0.1430055126846792
ARM,2020,0.1618556169249874
ARM,2021,0.09244893203069182
ARM,2022,-0.12735501378624425
ARM,2023,-0.22675541062152071
ATG,1970,0.8978485991716745
ATG,1971,0.7925770556997538
ATG,1972,0.5715245886314697
ATG,1973,0.32024489213887986
ATG,1974,0.1659794366981
ATG,1975,0.05938524266702783
ATG,1976,0.13982176114184153
ATG,1977,0.12319209418805732
ATG,1978,0.013170115579111297
ATG,1979,0.050447435839057864
ATG,1980,-0.3322091007789587
ATG,1981,-0.37806662319032636
ATG,1982,-0.3545369773517274
ATG,1983,-0.257725258280294
ATG,1984,-0.4744436827094778
ATG,1985,-0.6913285617716746
ATG,1986,-0.484277053712898
ATG,1987,-0.542808167144289
ATG,1988,-0.6526034864746525
ATG,1989,-0.6805882017070025
ATG,1990,-0.6974041008512459
ATG,1991,-0.7001873678568061
ATG,1992,-0.7807543952475005
ATG,1993,-0.8081340364833133
ATG,1994,-0.7778484989162218
ATG,1995,-0.8438574129747655
ATG,1996,-0.8602636621110951
ATG,1997,-0.9005807156365471
ATG,1998,-1.315513049302156
ATG,1999,-0.9629567630451092
ATG,2000,-0.8262478708191041
ATG,2001,-0.9895768300575376
ATG,2002,-0.9683290578983115
ATG,2003,-0.8870763836209588
ATG,2004,-1.1822454776436442
ATG,2005,-0.9379970643826737
ATG,2006,-0.870768825771211
ATG,2007,-0.7168226709075789
ATG,2008,-0.8352078928398186
ATG,2009,-0.6482522408078418
ATG,2010,-0.5998996294633501
ATG,2011,-0.5488436618793693
ATG,2012,-0.6221831127833669
ATG,2013,-0.7343121097998054
ATG,2014,-1.3863693451054444
ATG,2015,-0.9918305404986295
ATG,2016,-1.1071683157488525
ATG,2017,-1.3229936541110219
ATG,2018,-1.050262819496528
ATG,2019,-0.9755543375062408
ATG,2020,-0.8052906345299891
ATG,2021,-0.6640292810833551
ATG,2022,-0.8304057560928033
ATG,2023,-0.8902359348451918
AUS,1950,1.3744976413475687
AUS,1951,1.2307930483015999
AUS,1952,1.1730666448050748
AUS,1953,1.219922166137423
AUS,1954,1.2086658466043176
AUS,1955,1.171428959395489
AUS,1956,1.1141013932445816
AUS,1957,1.1002385104590435
AUS,1958,1.1046640728881096
AUS,1959,1.0738965130849385
AUS,1960,1.0195237548664102
AUS,1961,1.0381586251433932
AUS,1962,1.0205220729164328
AUS,1963,1.003764898773959
AUS,1964,0.9665963575961216
AUS,1965,0.9282624957157741
AUS,1966,0.898149737634387
AUS,1967,0.8757116073514717
AUS,1968,0.8468969394726158
AUS,1969,0.8098698909030229
AUS,1970,0.7612933929409669
AUS,1971,0.691222084010245
AUS,1972,0.5647266197053269
AUS,1973,0.2491883525992511
AUS,1974,0.035480969796001904
AUS,1975,-0.011308316865570767
AUS,1976,-0.03784100299300497
AUS,1977,-0.015080806800059854
AUS,1978,-0.11743110315436467
AUS,1979,-0.18055513957827918
AUS,1980,-0.2847526093450955
AUS,1981,-0.3885197388522824
AUS,1982,-0.3658113284426552
AUS,1983,-0.301455177685529
AUS,1984,-0.33385877852361323
AUS,1985,-0.167717752225913
AUS,1986,-0.19593813410394578
AUS,1987,-0.2790332630201128
AUS,1988,-0.44984792427287434
AUS,1989,-0.5140678555492008
AUS,1990,-0.5352305548181442
AUS,1991,-0.566703408208527
AUS,1992,-0.485048985743464
AUS,1993,-0.4292176968884067
AUS,1994,-0.5132316181723404
AUS,1995,-0.5365182237962112
AUS,1996,-0.5858606985494614
AUS,1997,-0.5320560055826342
AUS,1998,-0.37604661064707057
AUS,1999,-0.40822071351842826
AUS,2000,-0.33214955027088433
AUS,2001,-0.24809744824848645
AUS,2002,-0.3184061215958013
AUS,2003,-0.5215901540630117
AUS,2004,-0.6778967260497513
AUS,2005,-0.7286141223982154
AUS,2006,-0.7768244737963172
AUS,2007,-0.9362845176344062
AUS,2008,-0.9596513216662889
AUS,2009,-0.9076298063451276
AUS,2010,-1.0609900432841806
AUS,2011,-1.1704756742110733
AUS,2012,-1.2092215140359233
AUS,2013,-1.143883738786018
AUS,2014,-1.088962622257639
AUS,2015,-0.9697310264417628
AUS,2016,-0.9433154339079208
AUS,2017,-0.9842545913404223
AUS,2018,-0.9592692023969129
AUS,2019,-0.8790714667326079
AUS,2020,-0.8874824040011857
AUS,2021,-1.011495855486015
AUS,2022,-0.9859271492951971
AUS,2023,-0.9917369206030537
AUT,1950,1.412737595715701
AUT,1951,1.2534153530538006
AUT,1952,1.1513565345226473
AUT,1953,1.32297695736506
AUT,1954,1.34818030945587
AUT,1955,1.3174067515475096
AUT,1956,1.294748076932537
AUT,1957,1.2517951743202687
AUT,1958,1.2692741422502527
AUT,1959,1.2474091876073032
AUT,1960,1.203028162387593
AUT,1961,1.1647016088731519
AUT,1962,1.1471803801120461
AUT,1963,1.1197579045578108
AUT,1964,1.0828932877573094
AUT,1965,1.0389737282718763
AUT,1966,1.0151890437423472
AUT,1967,0.9938197220155707
AUT,1968,0.9754739067887379
AUT,1969,0.9451085690942667
AUT,1970,0.9011426096733568
AUT,1971,0.8127221033953174
